id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34821233,Other Cities,Long Beach,33.77271,-118.15917,Entire home/apt,85.0,31.0,71.0,2025-07-31,0.93,3.0,270.0,3.0,
31591378,City of Los Angeles,Hollywood,34.10092,-118.34673,Entire home/apt,123.0,31.0,48.0,2024-03-02,0.6,84.0,180.0,0.0,
1212439878860359613,City of Los Angeles,Hollywood Hills West,34.1000876505888,-118.37167272762828,Entire home/apt,1040.0,30.0,0.0,,0.0,49.0,365.0,0.0,
1201441631881951452,Other Cities,Santa Monica,34.01977720890222,-118.50285889540505,Entire home/apt,373.0,2.0,6.0,2025-05-29,0.46,18.0,324.0,4.0,Exempt
54261174,Other Cities,Long Beach,33.81840830389337,-118.20047232640303,Entire home/apt,90.0,3.0,1.0,2025-06-14,0.37,1.0,14.0,1.0,Exempt
34042653,City of Los Angeles,Mid-City,34.03615,-118.35992,Entire home/apt,82.0,90.0,25.0,2025-01-06,0.33,3.0,252.0,2.0,
1292857663807352094,Other Cities,Lawndale,33.89389766175548,-118.34856991838058,Entire home/apt,265.0,1.0,16.0,2025-08-23,1.93,6.0,75.0,16.0,
846009692638683340,Other Cities,Hermosa Beach,33.85625,-118.39762,Entire home/apt,1692.0,360.0,8.0,2024-06-29,0.28,42.0,245.0,0.0,
1482212588863358239,Unincorporated Areas,East Los Angeles,34.061,-118.18928,Entire home/apt,227.0,1.0,0.0,,0.0,12.0,279.0,0.0,
32224775,City of Los Angeles,Echo Park,34.07781,-118.26957,Entire home/apt,168.0,2.0,299.0,2025-08-23,3.77,3.0,261.0,42.0,HSR24-000590
1183405724627633258,Other Cities,West Hollywood,34.07998,-118.38903,Entire home/apt,232.0,30.0,0.0,,0.0,136.0,363.0,0.0,
1293692280970442882,Unincorporated Areas,East Los Angeles,34.05766406811789,-118.19198928470819,Entire home/apt,120.0,30.0,19.0,2025-08-25,2.07,22.0,75.0,19.0,
1244428398828456789,City of Los Angeles,Sherman Oaks,34.16495,-118.41546,Entire home/apt,603.0,2.0,6.0,2025-06-29,1.05,15.0,312.0,6.0,HSR24-002046
21217388,City of Los Angeles,Mid-Wilshire,34.06174,-118.3595,Entire home/apt,210.0,31.0,24.0,2025-01-04,0.26,1.0,336.0,3.0,
1434948256935230270,City of Los Angeles,Beverly Grove,34.0669171,-118.3621971,Entire home/apt,684.0,1.0,5.0,2025-08-29,2.42,23.0,327.0,5.0,HSR22-003507
1430585510905110518,City of Los Angeles,Downtown,34.05737707246232,-118.24243911927874,Private room,290.0,30.0,1.0,2025-07-03,0.48,25.0,362.0,1.0,Exempt - This listing is a transient occupancy residential structure
1034868698770279520,City of Los Angeles,Beverly Grove,34.084617991554374,-118.36220255747097,Entire home/apt,169.0,1.0,7.0,2025-06-17,0.36,6.0,256.0,3.0,Exempt - This listing is a transient occupancy residential structure
1170458684632936747,Other Cities,Monterey Park,34.05866,-118.1223,Entire home/apt,186.0,2.0,57.0,2025-08-27,3.8,42.0,248.0,42.0,
1446535249650391044,Other Cities,Avalon,33.342417463102876,-118.32899594569837,Private room,262.0,1.0,3.0,2025-08-19,1.76,14.0,54.0,3.0,
652466984021015750,Other Cities,Avalon,33.3403891,-118.3259656,Entire home/apt,402.0,2.0,136.0,2025-08-17,3.53,1.0,298.0,43.0,
1184397963712400081,City of Los Angeles,Eagle Rock,34.13222250866897,-118.21987210987976,Entire home/apt,51.0,30.0,5.0,2025-06-02,0.49,1.0,302.0,5.0,
22204305,City of Los Angeles,Sawtelle,34.0448,-118.45507,Shared room,39.0,30.0,19.0,2021-07-01,0.2,5.0,365.0,0.0,
911966613440135455,City of Los Angeles,Los Feliz,34.116708508472634,-118.28626801983052,Entire home/apt,136.0,30.0,7.0,2025-08-01,0.28,1.0,234.0,3.0,
53156359,City of Los Angeles,Mid-City,34.0358,-118.35066,Entire home/apt,171.0,2.0,98.0,2025-08-11,2.4,1.0,258.0,22.0,HSR23-002448
1393230523987217863,Unincorporated Areas,South San Gabriel,34.04796,-118.09503,Entire home/apt,64.0,30.0,20.0,2025-08-11,4.23,17.0,282.0,20.0,
884404225860911703,Other Cities,West Covina,34.05618,-117.87443,Entire home/apt,275.0,29.0,0.0,,0.0,35.0,254.0,0.0,
782925262804367153,Other Cities,Lancaster,34.67933,-118.07868,Private room,33.0,1.0,30.0,2025-05-06,0.92,14.0,364.0,8.0,
1146731526293272113,Unincorporated Areas,East Los Angeles,34.05894,-118.17248,Entire home/apt,116.0,3.0,14.0,2025-06-20,0.86,5.0,81.0,2.0,
32287619,Other Cities,Rancho Palos Verdes,33.73777,-118.39664,Entire home/apt,442.0,3.0,35.0,2025-04-27,0.65,12.0,88.0,8.0,
1116927309945532824,Other Cities,Beverly Hills,34.06039862436492,-118.38682984531391,Entire home/apt,167.0,2.0,54.0,2025-08-08,3.18,12.0,244.0,37.0,
1218495158357997432,City of Los Angeles,East Hollywood,34.0925,-118.30272,Entire home/apt,210.0,31.0,1.0,2025-06-08,0.34,33.0,258.0,1.0,
1235892441152712378,City of Los Angeles,North Hills,34.242506303393455,-118.48513977188354,Private room,69.0,30.0,3.0,2025-06-29,0.78,5.0,239.0,3.0,HSR23-002334
1222610608294363981,Other Cities,El Monte,34.09205,-118.0114,Entire home/apt,59.0,1.0,62.0,2025-08-18,4.93,11.0,112.0,60.0,
1152324676427708179,Other Cities,Burbank,34.19335,-118.34269,Entire home/apt,173.0,3.0,33.0,2025-08-24,2.27,44.0,325.0,25.0,
1155421159826611616,Other Cities,West Hollywood,34.093056520592114,-118.34476276673044,Entire home/apt,194.0,1.0,64.0,2025-08-20,4.06,6.0,225.0,51.0,Exempt
551910185467649472,City of Los Angeles,Studio City,34.1430615,-118.368385,Entire home/apt,159.0,31.0,4.0,2024-08-11,0.11,617.0,18.0,0.0,
1162448870500350675,Other Cities,Culver City,34.03208,-118.3713,Private room,55.0,1.0,31.0,2025-08-09,2.0,14.0,363.0,29.0,
1052236320080880208,City of Los Angeles,Hollywood Hills West,34.09979,-118.36904,Private room,296.0,1.0,16.0,2025-08-25,0.78,15.0,259.0,8.0,HSR21-002257
40621754,Other Cities,Burbank,34.16253,-118.30749,Entire home/apt,105.0,3.0,168.0,2025-08-24,2.43,1.0,321.0,59.0,
53066948,Unincorporated Areas,South San Gabriel,34.04676,-118.10225,Entire home/apt,248.0,30.0,6.0,2025-08-08,0.16,1.0,364.0,2.0,
19523138,City of Los Angeles,Mar Vista,34.01221,-118.43206,Entire home/apt,198.0,2.0,295.0,2025-08-28,2.97,1.0,259.0,25.0,HSR24-001798
13100148,Other Cities,Pomona,34.028053283691406,-117.76118469238281,Private room,29.0,120.0,4.0,2023-07-09,0.04,6.0,364.0,0.0,
41329025,Other Cities,Artesia,33.8788,-118.0759,Private room,400.0,60.0,6.0,2020-03-24,0.09,1.0,263.0,0.0,
